Machine_ID,Temperature,Run_Time,Downtime_Flag,Hydraulic_Pressure,Coolant_Temperature,Spindle_Speed,Defect_Rate
M007,117.8,6.0,0,110.41,46.6,809,3.74
M020,98.2,15.8,0,122.54,79.7,3208,3.38
M015,108.6,10.7,0,170.29,52.7,2491,7.93
M011,110.7,4.0,0,105.28,25.3,771,4.13
M008,108.7,21.7,0,148.66,56.4,4142,6.95
M007,79.8,16.9,0,159.94,29.1,4586,4.18
M019,65.6,16.7,0,160.21,21.9,2322,9.82
M011,77.8,19.9,0,102.29,78.2,3773,12.36
M011,112.4,13.2,1,132.21,66.4,4849,0.32
M004,60.3,19.7,0,163.65,78.8,1020,11.65
M008,85.9,12.5,0,114.9,48.7,1476,4.11
M003,66.3,2.5,0,169.54,51.9,4222,2.31
M002,90.7,10.3,0,174.59,30.1,4051,14.75
M012,110.4,12.4,0,198.2,34.8,4605,11.8
M006,111.6,17.6,0,120.98,70.3,3273,11.6
M002,66.6,3.5,1,182.51,41.4,3052,3.74
M001,113.5,4.2,0,152.03,69.6,3332,2.26
M012,91.4,7.1,0,137.35,62.5,4407,3.26
M012,74.5,7.1,1,112.24,30.6,652,6.96
M017,99.6,17.8,0,173.55,50.4,3464,3.96
M010,83.7,6.8,0,123.59,60.6,3416,6.23
M016,76.5,15.6,0,137.14,34.1,3300,4.44
M015,99.4,12.4,1,106.25,69.8,2252,12.36
M015,67.4,14.2,1,180.14,52.7,3110,9.45
M019,73.1,20.3,0,176.66,29.9,4375,12.87
M012,80.4,10.3,0,173.36,55.0,1604,3.92
M020,67.8,18.7,0,129.94,80.0,3036,6.43
M003,78.4,10.7,1,117.35,29.0,4699,1.01
M005,90.0,9.1,0,163.76,69.0,4354,2.57
M019,101.9,23.0,1,149.62,32.4,3994,11.04
M007,103.7,5.2,1,117.83,66.9,2414,6.55
M009,107.6,3.1,0,168.59,64.1,3572,10.0
M007,102.1,18.7,0,199.11,38.0,1506,0.47
M018,97.7,2.6,0,174.72,39.5,906,3.74
M004,66.6,20.3,0,174.0,67.6,666,4.06
M014,78.0,11.1,0,195.03,47.7,1008,3.53
M018,83.4,22.1,0,120.29,63.8,2161,4.84
M009,55.8,17.6,1,156.55,28.9,4164,4.13
M002,87.0,15.0,1,197.96,71.2,3989,13.55
M020,80.5,22.8,0,116.53,62.7,1180,14.0
M015,106.1,10.1,0,170.03,74.4,3024,4.01
M007,118.5,22.9,0,158.58,27.9,2620,10.11
M012,88.9,4.1,0,158.65,55.6,4857,0.09
M008,72.6,12.1,0,169.77,55.9,1863,2.33
M015,53.0,7.2,0,192.96,41.2,1831,2.86
M003,114.7,13.4,1,178.26,47.5,2792,4.56
M014,114.3,4.7,0,105.61,22.3,2038,1.59
M017,67.7,20.4,1,185.27,64.8,3908,4.81
